51
AbuQash,623,123
AlBireh,729,249
AlJudeira,666,429
AlMidya,119,172
Anata,833,561
BaytIksa,611,564
Baytillu,429,39
Baytin,771,205
BaytSira,236,331
BaytSurik,522,537
Beit'Anan,420,453
BeitLiqya,290,391
Beitunia,585,326
BeitUrAlfauqa,430,340
BeitUrAlTahta,346,310
Bilin,308,196
BirNabala,670,450
Birzeit,656,43
Budrus,90,67
DayrDibwan,860,253
DayrIbzi',448,237
DayrJarir,932,72
DayrQadis,233,130
DeirAmmar,380,65
DuraElKaria,735,95
EinArik,510,265
EinQiniya,520,200
EinSinya,740,50
EinYabrud,800,115
Hizma,845,500
Jaba,836,428
Jamala,362,47
Janiya,453,164
KafrAqab,740,382
KafrNima,375,208
KharbathaAlmisbah,307,342
KharbathaBaniHarith,308,146
LacasaMall,584,150
MazraAlqibliya,561,106
Qalandia,688,413
Qibya,142,30
Ramallah,676,276
Ramun,946,199
RasKarker,396,149
Safa,276,279
Shabtin,247,46
Silwad,841,31
Surda,674,153
Taiba,944,98
ThePalestinianMuseum,622,74
Tira,460,388
